N,P,Avg_Return,X_1_1,Y_1_1,X_1_2,Y_1_2,X_1_3,Y_1_3,X_1_4,Y_1_4,X_1_5,Y_1_5,X_1_6,Y_1_6,X_1_7,Y_1_7,X_1_8,Y_1_8,X_1_9,Y_1_9,X_1_10,Y_1_10,X_1_11,Y_1_11,X_1_12,Y_1_12,X_1_13,Y_1_13,X_1_14,Y_1_14,X_1_15,Y_1_15,X_1_16,Y_1_16,X_1_17,Y_1_17,X_1_18,Y_1_18,X_1_19,Y_1_19,X_1_20,Y_1_20,X_1_21,Y_1_21,X_1_22,Y_1_22,X_1_23,Y_1_23,X_1_24,Y_1_24,X_1_25,Y_1_25,X_1_26,Y_1_26,X_1_27,Y_1_27,X_1_28,Y_1_28,X_1_29,Y_1_29,X_1_30,Y_1_30,X_1_31,Y_1_31,X_1_32,Y_1_32,X_1_33,Y_1_33,X_1_34,Y_1_34,X_1_35,Y_1_35,X_1_36,Y_1_36,X_1_37,Y_1_37,X_1_38,Y_1_38,X_1_39,Y_1_39,X_1_40,Y_1_40,X_1_41,Y_1_41,X_1_42,Y_1_42,X_1_43,Y_1_43,X_1_44,Y_1_44,X_1_45,Y_1_45,X_1_46,Y_1_46,X_1_47,Y_1_47,X_1_48,Y_1_48,X_1_49,Y_1_49,X_1_50,Y_1_50,X_1_51,Y_1_51,X_1_52,Y_1_52,X_1_53,Y_1_53,X_1_54,Y_1_54,X_1_55,Y_1_55,X_1_56,Y_1_56,X_1_57,Y_1_57,X_1_58,Y_1_58,X_1_59,Y_1_59,X_1_60,Y_1_60,X_1_51,Y_1_51,X_1_14,Y_1_14,X_1_29,Y_1_29,X_1_46,Y_1_46,X_1_11,Y_1_11,X_1_50,Y_1_50,X_1_8,Y_1_8,X_1_52,Y_1_52,X_1_26,Y_1_26,X_1_30,Y_1_30,X_1_60,Y_1_60,X_1_22,Y_1_22,X_1_14,Y_1_14,X_1_53,Y_1_53,X_1_24,Y_1_24,X_1_42,Y_1_42,X_1_4,Y_1_4,X_1_11,Y_1_11,X_1_26,Y_1_26,X_1_45,Y_1_45,X_1_11,Y_1_11,X_1_29,Y_1_29,X_1_45,Y_1_45,X_1_15,Y_1_15,X_1_41,Y_1_41,X_1_38,Y_1_38,X_1_57,Y_1_57,X_1_4,Y_1_4,X_1_2,Y_1_2,X_1_12,Y_1_12,X_1_38,Y_1_38,X_1_3,Y_1_3,X_1_30,Y_1_30,X_1_39,Y_1_39,X_1_16,Y_1_16,X_1_61,Y_1_61,X_1_32,Y_1_32,X_1_36,Y_1_36,X_1_9,Y_1_9,X_1_35,Y_1_35
50,111.3458351,-0.001250196445,0,0,2,0,6,0,0,1,1,1,3,1,4,1,1,2,3,2,6,2,7,2,1,3,2,3,3,3,0,4,1,4,3,4,5,4,6,4,7,4,0,5,2,5,3,5,4,5,5,5,6,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,5,3,7,5,2,1,NA,NA,7,0,NA,NA,4,3,2,4,NA,NA,0,3,0,2,NA,NA,6,3,NA,NA,3,0,6,1,4,4,NA,NA,7,1,1,5,NA,NA,5,2,NA,NA,NA,NA,NA,NA,4,0,1,0,4,2,NA,NA,5,0,1,6,NA,NA,7,3,NA,NA,NA,NA,NA,NA,2,2,NA,NA
50,115.5366573,0.03763788974,0,0,2,0,6,0,0,1,1,1,3,1,4,1,1,2,3,2,6,2,7,2,1,3,2,3,3,3,0,4,1,4,3,4,5,4,6,4,7,4,0,5,2,5,3,5,4,5,5,5,6,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,5,3,7,5,2,1,NA,NA,7,0,NA,NA,4,3,2,4,NA,NA,0,3,0,2,NA,NA,6,3,NA,NA,3,0,6,1,4,4,NA,NA,7,1,1,5,NA,NA,5,2,NA,NA,NA,NA,NA,NA,4,0,1,0,4,2,NA,NA,5,0,1,6,NA,NA,7,3,NA,NA,NA,NA,NA,NA,2,2,NA,NA
50,115.7232769,0.001615241303,0,0,2,0,6,0,0,1,1,1,3,1,4,1,1,2,3,2,6,2,7,2,1,3,2,3,3,3,0,4,1,4,3,4,5,4,6,4,7,4,0,5,2,5,3,5,4,5,5,5,6,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,5,1,5,3,7,5,2,1,NA,NA,7,0,NA,NA,4,3,2,4,NA,NA,0,3,0,2,NA,NA,6,3,NA,NA,3,0,6,1,4,4,NA,NA,7,1,1,5,NA,NA,5,2,NA,NA,NA,NA,NA,NA,4,0,1,0,4,2,NA,NA,5,0,1,6,NA,NA,7,3,NA,NA,NA,NA,NA,NA,2,2,NA,NA
51,114.1854974,-0.01328842003,0,0,2,0,6,0,0,1,1,1,3,1,4,1,1,2,3,2,6,2,7,2,1,3,2,3,3,3,0,4,1,4,3,4,5,4,6,4,7,4,0,5,2,5,3,5,4,5,5,5,6,5,0,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,5,1,5,3,7,5,2,1,NA,NA,7,0,NA,NA,4,3,2,4,NA,NA,0,3,0,2,NA,NA,6,3,NA,NA,3,0,6,1,4,4,NA,NA,7,1,1,5,NA,NA,5,2,NA,NA,NA,NA,NA,NA,4,0,1,0,4,2,NA,NA,5,0,1,6,NA,NA,7,3,NA,NA,NA,NA,NA,NA,2,2,NA,NA
52,116.9070011,0.02383405749,0,0,2,0,6,0,0,1,1,1,3,1,4,1,1,2,3,2,6,2,7,2,1,3,2,3,3,3,0,4,1,4,3,4,5,4,6,4,7,4,0,5,2,5,3,5,4,5,5,5,6,5,0,6,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,5,1,5,3,7,5,2,1,NA,NA,7,0,NA,NA,4,3,2,4,NA,NA,0,3,0,2,NA,NA,6,3,NA,NA,3,0,6,1,4,4,NA,NA,7,1,1,5,NA,NA,5,2,NA,NA,NA,NA,NA,NA,4,0,1,0,4,2,NA,NA,5,0,1,6,NA,NA,7,3,NA,NA,NA,NA,NA,NA,2,2,NA,NA
52,118.7004946,0.0153411981,0,0,2,0,6,0,0,1,1,1,3,1,4,1,1,2,3,2,6,2,7,2,1,3,2,3,3,3,0,4,1,4,3,4,5,4,6,4,7,4,0,5,2,5,3,5,4,5,5,5,6,5,0,6,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,5,1,5,3,7,5,2,1,NA,NA,7,0,NA,NA,4,3,2,4,NA,NA,0,3,0,2,NA,NA,6,3,NA,NA,3,0,6,1,4,4,NA,NA,7,1,1,5,NA,NA,5,2,NA,NA,NA,NA,NA,NA,4,0,1,0,4,2,NA,NA,5,0,1,6,NA,NA,7,3,NA,NA,NA,NA,NA,NA,2,2,NA,NA
52,113.9877493,-0.03970282717,0,0,2,0,6,0,0,1,1,1,3,1,4,1,1,2,3,2,6,2,7,2,1,3,2,3,3,3,0,4,1,4,3,4,5,4,6,4,7,4,0,5,2,5,3,5,4,5,5,5,6,5,0,6,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,5,1,5,3,7,5,2,1,NA,NA,7,0,NA,NA,4,3,2,4,NA,NA,0,3,0,2,NA,NA,6,3,NA,NA,3,0,6,1,4,4,NA,NA,7,1,1,5,NA,NA,5,2,NA,NA,NA,NA,NA,NA,4,0,1,0,4,2,NA,NA,5,0,1,6,NA,NA,7,3,NA,NA,NA,NA,NA,NA,2,2,NA,NA
52,114.320287,0.002917310292,0,0,2,0,6,0,0,1,1,1,3,1,4,1,1,2,3,2,6,2,7,2,1,3,2,3,3,3,0,4,1,4,3,4,5,4,6,4,7,4,0,5,2,5,3,5,4,5,5,5,6,5,0,6,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,5,1,5,3,7,5,2,1,NA,NA,7,0,NA,NA,4,3,2,4,NA,NA,0,3,0,2,NA,NA,6,3,NA,NA,3,0,6,1,4,4,NA,NA,7,1,1,5,NA,NA,5,2,NA,NA,NA,NA,NA,NA,4,0,1,0,4,2,NA,NA,5,0,1,6,NA,NA,7,3,NA,NA,NA,NA,NA,NA,2,2,NA,NA
52,114.3395418,0.0001684290473,0,0,2,0,6,0,0,1,1,1,3,1,4,1,1,2,3,2,6,2,7,2,1,3,2,3,3,3,0,4,1,4,3,4,5,4,6,4,7,4,0,5,2,5,3,5,4,5,5,5,6,5,0,6,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,5,1,5,3,7,5,2,1,NA,NA,7,0,NA,NA,4,3,2,4,NA,NA,0,3,0,2,NA,NA,6,3,NA,NA,3,0,6,1,4,4,NA,NA,7,1,1,5,NA,NA,5,2,NA,NA,NA,NA,NA,NA,4,0,1,0,4,2,NA,NA,5,0,1,6,NA,NA,7,3,NA,NA,NA,NA,NA,NA,2,2,NA,NA
52,115.9984782,0.01450885981,0,0,2,0,6,0,0,1,1,1,3,1,4,1,1,2,3,2,6,2,7,2,1,3,2,3,3,3,0,4,1,4,3,4,5,4,6,4,7,4,0,5,2,5,3,5,4,5,5,5,6,5,0,6,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,5,1,5,3,7,5,2,1,NA,NA,7,0,NA,NA,4,3,2,4,NA,NA,0,3,0,2,NA,NA,6,3,NA,NA,3,0,6,1,4,4,NA,NA,7,1,1,5,NA,NA,5,2,NA,NA,NA,NA,NA,NA,4,0,1,0,4,2,NA,NA,5,0,1,6,NA,NA,7,3,NA,NA,NA,NA,NA,NA,2,2,NA,NA
52,114.3929336,-0.01384108333,0,0,2,0,6,0,0,1,1,1,3,1,4,1,1,2,3,2,6,2,7,2,1,3,2,3,3,3,0,4,1,4,3,4,5,4,6,4,7,4,0,5,2,5,3,5,4,5,5,5,6,5,0,6,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,5,1,5,3,7,5,2,1,NA,NA,7,0,NA,NA,4,3,2,4,NA,NA,0,3,0,2,NA,NA,6,3,NA,NA,3,0,6,1,4,4,NA,NA,7,1,1,5,NA,NA,5,2,NA,NA,NA,NA,NA,NA,4,0,1,0,4,2,NA,NA,5,0,1,6,NA,NA,7,3,NA,NA,NA,NA,NA,NA,2,2,NA,NA
52,115.5347996,0.009981962707,0,0,2,0,6,0,0,1,1,1,3,1,4,1,1,2,3,2,6,2,7,2,1,3,2,3,3,3,0,4,1,4,3,4,5,4,6,4,7,4,0,5,2,5,3,5,4,5,5,5,6,5,0,6,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,5,1,5,3,7,5,2,1,NA,NA,7,0,NA,NA,4,3,2,4,NA,NA,0,3,0,2,NA,NA,6,3,NA,NA,3,0,6,1,4,4,NA,NA,7,1,1,5,NA,NA,5,2,NA,NA,NA,NA,NA,NA,4,0,1,0,4,2,NA,NA,5,0,1,6,NA,NA,7,3,NA,NA,NA,NA,NA,NA,2,2,NA,NA
