N,P,Avg_Return,X_1_1,Y_1_1,X_1_2,Y_1_2,X_1_3,Y_1_3,X_1_4,Y_1_4,X_1_5,Y_1_5,X_1_6,Y_1_6,X_1_7,Y_1_7,X_1_8,Y_1_8,X_1_9,Y_1_9,X_1_10,Y_1_10,X_1_11,Y_1_11,X_1_12,Y_1_12,X_1_13,Y_1_13,X_1_14,Y_1_14,X_1_15,Y_1_15,X_1_16,Y_1_16,X_1_17,Y_1_17,X_1_18,Y_1_18,X_1_19,Y_1_19,X_1_20,Y_1_20,X_1_21,Y_1_21,X_1_22,Y_1_22,X_1_23,Y_1_23,X_1_24,Y_1_24,X_1_25,Y_1_25,X_1_26,Y_1_26,X_1_27,Y_1_27,X_1_28,Y_1_28,X_1_29,Y_1_29,X_1_30,Y_1_30,X_1_31,Y_1_31,X_1_32,Y_1_32,X_1_33,Y_1_33,X_1_34,Y_1_34,X_1_35,Y_1_35,X_1_36,Y_1_36,X_1_37,Y_1_37,X_1_38,Y_1_38,X_1_39,Y_1_39,X_1_40,Y_1_40,X_1_41,Y_1_41,X_1_44,Y_1_44,X_1_45,Y_1_45,X_1_46,Y_1_46,X_1_39,Y_1_39,X_1_9,Y_1_9,X_1_26,Y_1_26,X_1_1,Y_1_1,X_1_11,Y_1_11,X_1_7,Y_1_7,X_1_19,Y_1_19,X_1_11,Y_1_11,X_1_10,Y_1_10,X_1_46,Y_1_46,X_1_7,Y_1_7,X_1_11,Y_1_11,X_1_21,Y_1_21,X_1_5,Y_1_5,X_1_40,Y_1_40,X_1_45,Y_1_45,X_1_4,Y_1_4,X_1_35,Y_1_35,X_1_33,Y_1_33,X_1_33,Y_1_33,X_1_27,Y_1_27,X_1_25,Y_1_25,X_1_17,Y_1_17,X_1_18,Y_1_18,X_1_40,Y_1_40,X_1_15,Y_1_15,X_1_32,Y_1_32,X_1_2,Y_1_2,X_1_7,Y_1_7,X_1_1,Y_1_1,X_1_20,Y_1_20,X_1_20,Y_1_20,X_1_6,Y_1_6,X_1_39,Y_1_39,X_1_5,Y_1_5,X_1_24,Y_1_24,X_1_31,Y_1_31,X_1_22,Y_1_22,X_1_31,Y_1_31,X_1_22,Y_1_22,X_1_25,Y_1_25,X_1_28,Y_1_28,X_1_36,Y_1_36,X_1_23,Y_1_23,X_1_44,Y_1_44,X_1_10,Y_1_10,X_1_7,Y_1_7,X_1_12,Y_1_12
50,98.72812158,-0.0036055567,3,0,6,0,2,1,3,1,3,2,4,2,7,2,0,3,5,3,0,4,1,4,3,4,4,4,7,4,4,5,6,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,5,5,7,5,6,4,0,1,2,3,0,0,4,1,7,0,6,2,6,1,5,1,NA,NA,1,1,1,2,6,3,5,0,NA,NA,NA,NA,4,0,NA,NA,1,6,NA,NA,0,5,5,4,4,3,7,3,NA,NA,1,3,NA,NA,2,0,0,2,1,0,1,5,2,5,2,2,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,2,4
50,100.1180151,0.01407798996,3,0,6,0,2,1,3,1,3,2,4,2,7,2,0,3,5,3,0,4,1,4,3,4,4,4,7,4,4,5,6,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,5,5,7,5,6,4,0,1,2,3,0,0,4,1,7,0,6,2,6,1,5,1,NA,NA,1,1,1,2,6,3,5,0,NA,NA,NA,NA,4,0,NA,NA,1,6,NA,NA,0,5,5,4,4,3,7,3,NA,NA,1,3,NA,NA,2,0,0,2,1,0,1,5,2,5,2,2,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,2,4
50,100.2724394,0.001542422937,3,0,6,0,2,1,3,1,3,2,4,2,7,2,0,3,5,3,0,4,1,4,3,4,4,4,7,4,4,5,6,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,5,5,7,5,6,4,0,1,2,3,0,0,4,1,7,0,6,2,6,1,5,1,NA,NA,1,1,1,2,6,3,5,0,NA,NA,NA,NA,4,0,NA,NA,1,6,NA,NA,0,5,5,4,4,3,7,3,NA,NA,1,3,NA,NA,2,0,0,2,1,0,1,5,2,5,2,2,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,2,4
50,99.7891911,-0.00481935332,3,0,6,0,2,1,3,1,3,2,4,2,7,2,0,3,5,3,0,4,1,4,3,4,4,4,7,4,4,5,6,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,5,5,7,5,6,4,0,1,2,3,0,0,4,1,7,0,6,2,6,1,5,1,NA,NA,1,1,1,2,6,3,5,0,NA,NA,NA,NA,4,0,NA,NA,1,6,NA,NA,0,5,5,4,4,3,7,3,NA,NA,1,3,NA,NA,2,0,0,2,1,0,1,5,2,5,2,2,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,2,4
50,101.1056196,0.01319209483,3,0,6,0,2,1,3,1,3,2,4,2,7,2,0,3,5,3,0,4,1,4,3,4,4,4,7,4,4,5,6,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,5,5,7,5,6,4,0,1,2,3,0,0,4,1,7,0,6,2,6,1,5,1,NA,NA,1,1,1,2,6,3,5,0,NA,NA,NA,NA,4,0,NA,NA,1,6,NA,NA,0,5,5,4,4,3,7,3,NA,NA,1,3,NA,NA,2,0,0,2,1,0,1,5,2,5,2,2,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,2,4
50,101.2239119,0.001169988147,3,0,6,0,2,1,3,1,3,2,4,2,7,2,0,3,5,3,0,4,1,4,3,4,4,4,7,4,4,5,6,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,5,5,7,5,6,4,0,1,2,3,0,0,4,1,7,0,6,2,6,1,5,1,NA,NA,1,1,1,2,6,3,5,0,NA,NA,NA,NA,4,0,NA,NA,1,6,NA,NA,0,5,5,4,4,3,7,3,NA,NA,1,3,NA,NA,2,0,0,2,1,0,1,5,2,5,2,2,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,2,4
50,100.5638128,-0.006521178078,3,0,6,0,2,1,3,1,3,2,4,2,7,2,0,3,5,3,0,4,1,4,3,4,4,4,7,4,4,5,6,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,5,5,7,5,6,4,0,1,2,3,0,0,4,1,7,0,6,2,6,1,5,1,NA,NA,1,1,1,2,6,3,5,0,NA,NA,NA,NA,4,0,NA,NA,1,6,NA,NA,0,5,5,4,4,3,7,3,NA,NA,1,3,NA,NA,2,0,0,2,1,0,1,5,2,5,2,2,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,2,4
50,100.7246308,0.001599163692,3,0,6,0,2,1,3,1,3,2,4,2,7,2,0,3,5,3,0,4,1,4,3,4,4,4,7,4,4,5,6,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,5,5,7,5,6,4,0,1,2,3,0,0,4,1,7,0,6,2,6,1,5,1,NA,NA,1,1,1,2,6,3,5,0,NA,NA,NA,NA,4,0,NA,NA,1,6,NA,NA,0,5,5,4,4,3,7,3,NA,NA,1,3,NA,NA,2,0,0,2,1,0,1,5,2,5,2,2,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,2,4
50,100.0352871,-0.006843844169,3,0,6,0,2,1,3,1,3,2,4,2,7,2,0,3,5,3,0,4,1,4,3,4,4,4,7,4,4,5,6,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,5,5,7,5,6,4,0,1,2,3,0,0,4,1,7,0,6,2,6,1,5,1,NA,NA,1,1,1,2,6,3,5,0,NA,NA,NA,NA,4,0,NA,NA,1,6,NA,NA,0,5,5,4,4,3,7,3,NA,NA,1,3,NA,NA,2,0,0,2,1,0,1,5,2,5,2,2,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,2,4
50,98.94245256,-0.01092449056,3,0,6,0,2,1,3,1,3,2,4,2,7,2,0,3,5,3,0,4,1,4,3,4,4,4,7,4,4,5,6,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,5,5,7,5,6,4,0,1,2,3,0,0,4,1,7,0,6,2,6,1,5,1,NA,NA,1,1,1,2,6,3,5,0,NA,NA,NA,NA,4,0,NA,NA,1,6,NA,NA,0,5,5,4,4,3,7,3,NA,NA,1,3,NA,NA,2,0,0,2,1,0,1,5,2,5,2,2,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,2,4
50,98.88515205,-0.0005791296426,3,0,6,0,2,1,3,1,3,2,4,2,7,2,0,3,5,3,0,4,1,4,3,4,4,4,7,4,4,5,6,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,5,5,7,5,6,4,0,1,2,3,0,0,4,1,7,0,6,2,6,1,5,1,NA,NA,1,1,1,2,6,3,5,0,NA,NA,NA,NA,4,0,NA,NA,1,6,NA,NA,0,5,5,4,4,3,7,3,NA,NA,1,3,NA,NA,2,0,0,2,1,0,1,5,2,5,2,2,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,2,4
50,101.1111316,0.02251075566,3,0,6,0,2,1,3,1,3,2,4,2,7,2,0,3,5,3,0,4,1,4,3,4,4,4,7,4,4,5,6,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,5,5,7,5,6,4,0,1,2,3,0,0,4,1,7,0,6,2,6,1,5,1,NA,NA,1,1,1,2,6,3,5,0,NA,NA,NA,NA,4,0,NA,NA,1,6,NA,NA,0,5,5,4,4,3,7,3,NA,NA,1,3,NA,NA,2,0,0,2,1,0,1,5,2,5,2,2,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,2,4
50,100.4867206,-0.006175491311,3,0,6,0,2,1,3,1,3,2,4,2,7,2,0,3,5,3,0,4,1,4,3,4,4,4,7,4,4,5,6,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,5,5,7,5,6,4,0,1,2,3,0,0,4,1,7,0,6,2,6,1,5,1,NA,NA,1,1,1,2,6,3,5,0,NA,NA,NA,NA,4,0,NA,NA,1,6,NA,NA,0,5,5,4,4,3,7,3,NA,NA,1,3,NA,NA,2,0,0,2,1,0,1,5,2,5,2,2,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,2,4
50,100.3643678,-0.001217601962,3,0,6,0,2,1,3,1,3,2,4,2,7,2,0,3,5,3,0,4,1,4,3,4,4,4,7,4,4,5,6,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,5,5,7,5,6,4,0,1,2,3,0,0,4,1,7,0,6,2,6,1,5,1,NA,NA,1,1,1,2,6,3,5,0,NA,NA,NA,NA,4,0,NA,NA,1,6,NA,NA,0,5,5,4,4,3,7,3,NA,NA,1,3,NA,NA,2,0,0,2,1,0,1,5,2,5,2,2,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,2,4
