N,P,Avg_Return,X_1_1,Y_1_1,X_1_2,Y_1_2,X_1_3,Y_1_3,X_1_4,Y_1_4,X_1_5,Y_1_5,X_1_6,Y_1_6,X_1_7,Y_1_7,X_1_8,Y_1_8,X_1_9,Y_1_9,X_1_10,Y_1_10,X_1_11,Y_1_11,X_1_12,Y_1_12,X_1_13,Y_1_13,X_1_14,Y_1_14,X_1_15,Y_1_15,X_1_16,Y_1_16,X_1_17,Y_1_17,X_1_18,Y_1_18,X_1_19,Y_1_19,X_1_20,Y_1_20,X_1_21,Y_1_21,X_1_22,Y_1_22,X_1_23,Y_1_23,X_1_24,Y_1_24,X_1_25,Y_1_25,X_1_26,Y_1_26,X_1_27,Y_1_27,X_1_28,Y_1_28,X_1_29,Y_1_29,X_1_30,Y_1_30,X_1_31,Y_1_31,X_1_32,Y_1_32,X_1_33,Y_1_33,X_1_34,Y_1_34,X_1_35,Y_1_35,X_1_36,Y_1_36,X_1_37,Y_1_37,X_1_38,Y_1_38,X_1_39,Y_1_39,X_1_40,Y_1_40,X_1_41,Y_1_41,X_1_42,Y_1_42,X_1_4,Y_1_4,X_1_35,Y_1_35,X_1_27,Y_1_27,X_1_3,Y_1_3,X_1_44,Y_1_44,X_1_43,Y_1_43,X_1_27,Y_1_27,X_1_18,Y_1_18,X_1_52,Y_1_52,X_1_14,Y_1_14,X_1_5,Y_1_5,X_1_32,Y_1_32,X_1_1,Y_1_1,X_1_38,Y_1_38,X_1_16,Y_1_16,X_1_43,Y_1_43,X_1_46,Y_1_46,X_1_7,Y_1_7,X_1_41,Y_1_41,X_1_40,Y_1_40,X_1_31,Y_1_31,X_1_11,Y_1_11,X_1_24,Y_1_24,X_1_1,Y_1_1,X_1_12,Y_1_12,X_1_34,Y_1_34,X_1_42,Y_1_42,X_1_37,Y_1_37,X_1_42,Y_1_42,X_1_4,Y_1_4,X_1_32,Y_1_32,X_1_21,Y_1_21,X_1_2,Y_1_2,X_1_33,Y_1_33,X_1_39,Y_1_39,X_1_21,Y_1_21,X_1_22,Y_1_22,X_1_1,Y_1_1,X_1_43,Y_1_43,X_1_31,Y_1_31,X_1_21,Y_1_21,X_1_31,Y_1_31,X_1_11,Y_1_11,X_1_4,Y_1_4,X_1_18,Y_1_18,X_1_6,Y_1_6,X_1_34,Y_1_34,X_1_40,Y_1_40,X_1_13,Y_1_13
51,97.51309798,0.01021868944,7,0,1,1,3,1,5,1,6,1,2,2,6,2,7,2,1,3,2,3,4,3,6,3,0,4,1,4,5,4,4,5,5,5,0,6,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,3,4,3,3,2,0,7,5,6,5,5,3,3,2,NA,NA,7,1,6,0,7,4,0,0,1,6,5,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2,5,0,2,2,4,1,0,4,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,4,4,5,0,NA,NA,NA,NA,6,4,1,5,4,0,NA,NA,NA,NA,3,5,NA,NA,0,3,4,1,0,5,1,2,NA,NA,NA,NA,7,3
51,100.0935883,0.02646301187,7,0,1,1,3,1,5,1,6,1,2,2,6,2,7,2,1,3,2,3,4,3,6,3,0,4,1,4,5,4,4,5,5,5,0,6,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,3,4,3,3,2,0,7,5,6,5,5,3,3,2,NA,NA,7,1,6,0,7,4,0,0,1,6,5,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2,5,0,2,2,4,1,0,4,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,4,4,5,0,NA,NA,NA,NA,6,4,1,5,4,0,NA,NA,NA,NA,3,5,NA,NA,0,3,4,1,0,5,1,2,NA,NA,NA,NA,7,3
51,101.608073,0.01513068704,7,0,1,1,3,1,5,1,6,1,2,2,6,2,7,2,1,3,2,3,4,3,6,3,0,4,1,4,5,4,4,5,5,5,0,6,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,3,4,3,3,2,0,7,5,6,5,5,3,3,2,NA,NA,7,1,6,0,7,4,0,0,1,6,5,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2,5,0,2,2,4,1,0,4,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,4,4,5,0,NA,NA,NA,NA,6,4,1,5,4,0,NA,NA,NA,NA,3,5,NA,NA,0,3,4,1,0,5,1,2,NA,NA,NA,NA,7,3
51,101.9657529,0.003520191261,7,0,1,1,3,1,5,1,6,1,2,2,6,2,7,2,1,3,2,3,4,3,6,3,0,4,1,4,5,4,4,5,5,5,0,6,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,3,4,3,3,2,0,7,5,6,5,5,3,3,2,NA,NA,7,1,6,0,7,4,0,0,1,6,5,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2,5,0,2,2,4,1,0,4,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,4,4,5,0,NA,NA,NA,NA,6,4,1,5,4,0,NA,NA,NA,NA,3,5,NA,NA,0,3,4,1,0,5,1,2,NA,NA,NA,NA,7,3
51,104.0348562,0.02029214044,7,0,1,1,3,1,5,1,6,1,2,2,6,2,7,2,1,3,2,3,4,3,6,3,0,4,1,4,5,4,4,5,5,5,0,6,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,3,4,3,3,2,0,7,5,6,5,5,3,3,2,NA,NA,7,1,6,0,7,4,0,0,1,6,5,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2,5,0,2,2,4,1,0,4,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,4,4,5,0,NA,NA,NA,NA,6,4,1,5,4,0,NA,NA,NA,NA,3,5,NA,NA,0,3,4,1,0,5,1,2,NA,NA,NA,NA,7,3
51,107.2387829,0.03079666495,7,0,1,1,3,1,5,1,6,1,2,2,6,2,7,2,1,3,2,3,4,3,6,3,0,4,1,4,5,4,4,5,5,5,0,6,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,3,4,3,3,2,0,7,5,6,5,5,3,3,2,NA,NA,7,1,6,0,7,4,0,0,1,6,5,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2,5,0,2,2,4,1,0,4,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,4,4,5,0,NA,NA,NA,NA,6,4,1,5,4,0,NA,NA,NA,NA,3,5,NA,NA,0,3,4,1,0,5,1,2,NA,NA,NA,NA,7,3
51,107.9948711,0.007050511096,7,0,1,1,3,1,5,1,6,1,2,2,6,2,7,2,1,3,2,3,4,3,6,3,0,4,1,4,5,4,4,5,5,5,0,6,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,3,4,3,3,2,0,7,5,6,5,5,3,3,2,NA,NA,7,1,6,0,7,4,0,0,1,6,5,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2,5,0,2,2,4,1,0,4,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,4,4,5,0,NA,NA,NA,NA,6,4,1,5,4,0,NA,NA,NA,NA,3,5,NA,NA,0,3,4,1,0,5,1,2,NA,NA,NA,NA,7,3
51,107.3520689,-0.005952154955,7,0,1,1,3,1,5,1,6,1,2,2,6,2,7,2,1,3,2,3,4,3,6,3,0,4,1,4,5,4,4,5,5,5,0,6,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,3,4,3,3,2,0,7,5,6,5,5,3,3,2,NA,NA,7,1,6,0,7,4,0,0,1,6,5,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2,5,0,2,2,4,1,0,4,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,4,4,5,0,NA,NA,NA,NA,6,4,1,5,4,0,NA,NA,NA,NA,3,5,NA,NA,0,3,4,1,0,5,1,2,NA,NA,NA,NA,7,3
51,107.9124938,0.005220439426,7,0,1,1,3,1,5,1,6,1,2,2,6,2,7,2,1,3,2,3,4,3,6,3,0,4,1,4,5,4,4,5,5,5,0,6,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,3,4,3,3,2,0,7,5,6,5,5,3,3,2,NA,NA,7,1,6,0,7,4,0,0,1,6,5,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2,5,0,2,2,4,1,0,4,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,4,4,5,0,NA,NA,NA,NA,6,4,1,5,4,0,NA,NA,NA,NA,3,5,NA,NA,0,3,4,1,0,5,1,2,NA,NA,NA,NA,7,3
51,107.4813316,-0.003995480032,7,0,1,1,3,1,5,1,6,1,2,2,6,2,7,2,1,3,2,3,4,3,6,3,0,4,1,4,5,4,4,5,5,5,0,6,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,3,4,3,3,2,0,7,5,6,5,5,3,3,2,NA,NA,7,1,6,0,7,4,0,0,1,6,5,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2,5,0,2,2,4,1,0,4,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,4,4,5,0,NA,NA,NA,NA,6,4,1,5,4,0,NA,NA,NA,NA,3,5,NA,NA,0,3,4,1,0,5,1,2,NA,NA,NA,NA,7,3
51,107.3021727,-0.001666883912,7,0,1,1,3,1,5,1,6,1,2,2,6,2,7,2,1,3,2,3,4,3,6,3,0,4,1,4,5,4,4,5,5,5,0,6,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,3,4,3,3,2,0,7,5,6,5,5,3,3,2,NA,NA,7,1,6,0,7,4,0,0,1,6,5,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2,5,0,2,2,4,1,0,4,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,4,4,5,0,NA,NA,NA,NA,6,4,1,5,4,0,NA,NA,NA,NA,3,5,NA,NA,0,3,4,1,0,5,1,2,NA,NA,NA,NA,7,3
51,107.2905703,-0.0001081289911,7,0,1,1,3,1,5,1,6,1,2,2,6,2,7,2,1,3,2,3,4,3,6,3,0,4,1,4,5,4,4,5,5,5,0,6,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,3,4,3,3,2,0,7,5,6,5,5,3,3,2,NA,NA,7,1,6,0,7,4,0,0,1,6,5,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2,5,0,2,2,4,1,0,4,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,4,4,5,0,NA,NA,NA,NA,6,4,1,5,4,0,NA,NA,NA,NA,3,5,NA,NA,0,3,4,1,0,5,1,2,NA,NA,NA,NA,7,3
51,107.3337429,0.0004023899128,7,0,1,1,3,1,5,1,6,1,2,2,6,2,7,2,1,3,2,3,4,3,6,3,0,4,1,4,5,4,4,5,5,5,0,6,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,3,4,3,3,2,0,7,5,6,5,5,3,3,2,NA,NA,7,1,6,0,7,4,0,0,1,6,5,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2,5,0,2,2,4,1,0,4,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,4,4,5,0,NA,NA,NA,NA,6,4,1,5,4,0,NA,NA,NA,NA,3,5,NA,NA,0,3,4,1,0,5,1,2,NA,NA,NA,NA,7,3
51,107.9416761,0.005663952515,7,0,1,1,3,1,5,1,6,1,2,2,6,2,7,2,1,3,2,3,4,3,6,3,0,4,1,4,5,4,4,5,5,5,0,6,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,3,4,3,3,2,0,7,5,6,5,5,3,3,2,NA,NA,7,1,6,0,7,4,0,0,1,6,5,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2,5,0,2,2,4,1,0,4,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,4,4,5,0,NA,NA,NA,NA,6,4,1,5,4,0,NA,NA,NA,NA,3,5,NA,NA,0,3,4,1,0,5,1,2,NA,NA,NA,NA,7,3
51,109.1780428,0.01145402567,7,0,1,1,3,1,5,1,6,1,2,2,6,2,7,2,1,3,2,3,4,3,6,3,0,4,1,4,5,4,4,5,5,5,0,6,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,3,4,3,3,2,0,7,5,6,5,5,3,3,2,NA,NA,7,1,6,0,7,4,0,0,1,6,5,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2,5,0,2,2,4,1,0,4,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,4,4,5,0,NA,NA,NA,NA,6,4,1,5,4,0,NA,NA,NA,NA,3,5,NA,NA,0,3,4,1,0,5,1,2,NA,NA,NA,NA,7,3
51,112.1490789,0.02721276147,7,0,1,1,3,1,5,1,6,1,2,2,6,2,7,2,1,3,2,3,4,3,6,3,0,4,1,4,5,4,4,5,5,5,0,6,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,3,4,3,3,2,0,7,5,6,5,5,3,3,2,NA,NA,7,1,6,0,7,4,0,0,1,6,5,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2,5,0,2,2,4,1,0,4,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,4,4,5,0,NA,NA,NA,NA,6,4,1,5,4,0,NA,NA,NA,NA,3,5,NA,NA,0,3,4,1,0,5,1,2,NA,NA,NA,NA,7,3
51,114.4736934,0.02072789635,7,0,1,1,3,1,5,1,6,1,2,2,6,2,7,2,1,3,2,3,4,3,6,3,0,4,1,4,5,4,4,5,5,5,0,6,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,3,4,3,3,2,0,7,5,6,5,5,3,3,2,NA,NA,7,1,6,0,7,4,0,0,1,6,5,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2,5,0,2,2,4,1,0,4,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,4,4,5,0,NA,NA,NA,NA,6,4,1,5,4,0,NA,NA,NA,NA,3,5,NA,NA,0,3,4,1,0,5,1,2,NA,NA,NA,NA,7,3
51,116.8995584,0.02119146324,7,0,1,1,3,1,5,1,6,1,2,2,6,2,7,2,1,3,2,3,4,3,6,3,0,4,1,4,5,4,4,5,5,5,0,6,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,3,4,3,3,2,0,7,5,6,5,5,3,3,2,NA,NA,7,1,6,0,7,4,0,0,1,6,5,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2,5,0,2,2,4,1,0,4,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,4,4,5,0,NA,NA,NA,NA,6,4,1,5,4,0,NA,NA,NA,NA,3,5,NA,NA,0,3,4,1,0,5,1,2,NA,NA,NA,NA,7,3
51,115.5335315,-0.01168547559,7,0,1,1,3,1,5,1,6,1,2,2,6,2,7,2,1,3,2,3,4,3,6,3,0,4,1,4,5,4,4,5,5,5,0,6,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,3,4,3,3,2,0,7,5,6,5,5,3,3,2,NA,NA,7,1,6,0,7,4,0,0,1,6,5,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2,5,0,2,2,4,1,0,4,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,4,4,5,0,NA,NA,NA,NA,6,4,1,5,4,0,NA,NA,NA,NA,3,5,NA,NA,0,3,4,1,0,5,1,2,NA,NA,NA,NA,7,3
51,117.2222659,0.01461683338,7,0,1,1,3,1,5,1,6,1,2,2,6,2,7,2,1,3,2,3,4,3,6,3,0,4,1,4,5,4,4,5,5,5,0,6,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,3,4,3,3,2,0,7,5,6,5,5,3,3,2,NA,NA,7,1,6,0,7,4,0,0,1,6,5,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2,5,0,2,2,4,1,0,4,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,4,4,5,0,NA,NA,NA,NA,6,4,1,5,4,0,NA,NA,NA,NA,3,5,NA,NA,0,3,4,1,0,5,1,2,NA,NA,NA,NA,7,3
51,115.3813341,-0.01570462527,7,0,1,1,3,1,5,1,6,1,2,2,6,2,7,2,1,3,2,3,4,3,6,3,0,4,1,4,5,4,4,5,5,5,0,6,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,3,4,3,3,2,0,7,5,6,5,5,3,3,2,NA,NA,7,1,6,0,7,4,0,0,1,6,5,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2,5,0,2,2,4,1,0,4,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,4,4,5,0,NA,NA,NA,NA,6,4,1,5,4,0,NA,NA,NA,NA,3,5,NA,NA,0,3,4,1,0,5,1,2,NA,NA,NA,NA,7,3
51,111.6364532,-0.03245655769,7,0,1,1,3,1,5,1,6,1,2,2,6,2,7,2,1,3,2,3,4,3,6,3,0,4,1,4,5,4,4,5,5,5,0,6,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,3,4,3,3,2,0,7,5,6,5,5,3,3,2,NA,NA,7,1,6,0,7,4,0,0,1,6,5,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2,5,0,2,2,4,1,0,4,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,4,4,5,0,NA,NA,NA,NA,6,4,1,5,4,0,NA,NA,NA,NA,3,5,NA,NA,0,3,4,1,0,5,1,2,NA,NA,NA,NA,7,3
51,110.4973493,-0.01020369118,7,0,1,1,3,1,5,1,6,1,2,2,6,2,7,2,1,3,2,3,4,3,6,3,0,4,1,4,5,4,4,5,5,5,0,6,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,3,4,3,3,2,0,7,5,6,5,5,3,3,2,NA,NA,7,1,6,0,7,4,0,0,1,6,5,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2,5,0,2,2,4,1,0,4,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,4,4,5,0,NA,NA,NA,NA,6,4,1,5,4,0,NA,NA,NA,NA,3,5,NA,NA,0,3,4,1,0,5,1,2,NA,NA,NA,NA,7,3
51,110.6358004,0.001252980854,7,0,1,1,3,1,5,1,6,1,2,2,6,2,7,2,1,3,2,3,4,3,6,3,0,4,1,4,5,4,4,5,5,5,0,6,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,3,4,3,3,2,0,7,5,6,5,5,3,3,2,NA,NA,7,1,6,0,7,4,0,0,1,6,5,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2,5,0,2,2,4,1,0,4,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,4,4,5,0,NA,NA,NA,NA,6,4,1,5,4,0,NA,NA,NA,NA,3,5,NA,NA,0,3,4,1,0,5,1,2,NA,NA,NA,NA,7,3
51,108.7454165,-0.01708654733,7,0,1,1,3,1,5,1,6,1,2,2,6,2,7,2,1,3,2,3,4,3,6,3,0,4,1,4,5,4,4,5,5,5,0,6,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,3,4,3,3,2,0,7,5,6,5,5,3,3,2,NA,NA,7,1,6,0,7,4,0,0,1,6,5,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2,5,0,2,2,4,1,0,4,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,4,4,5,0,NA,NA,NA,NA,6,4,1,5,4,0,NA,NA,NA,NA,3,5,NA,NA,0,3,4,1,0,5,1,2,NA,NA,NA,NA,7,3
51,108.3771962,-0.003386076815,7,0,1,1,3,1,5,1,6,1,2,2,6,2,7,2,1,3,2,3,4,3,6,3,0,4,1,4,5,4,4,5,5,5,0,6,3,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,3,4,3,3,2,0,7,5,6,5,5,3,3,2,NA,NA,7,1,6,0,7,4,0,0,1,6,5,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2,5,0,2,2,4,1,0,4,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,4,4,5,0,NA,NA,NA,NA,6,4,1,5,4,0,NA,NA,NA,NA,3,5,NA,NA,0,3,4,1,0,5,1,2,NA,NA,NA,NA,7,3
52,107.5519985,-0.007614126558,7,0,1,1,3,1,5,1,6,1,2,2,6,2,7,2,1,3,2,3,4,3,6,3,0,4,1,4,5,4,4,5,5,5,0,6,3,6,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,3,4,3,3,2,0,7,5,6,5,5,3,3,2,NA,NA,7,1,6,0,7,4,0,0,1,6,5,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2,5,0,2,2,4,1,0,4,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,4,4,5,0,NA,NA,NA,NA,6,4,1,5,4,0,NA,NA,NA,NA,3,5,NA,NA,0,3,4,1,0,5,1,2,NA,NA,NA,NA,7,3
